DBN,ell_num,sped_num,asian_num,black_num,hispanic_num,white_num,male_num,female_num,Total Cohort #,Total Grads #,Total Regents #,Advanced Regents #,Regents w/o Advanced #,Local #,Still Enrolled #,Dropped Out #,School Name,Year,Total Enrollment,# Female,# Male,# Asian,# Black,# Hispanic,# Multi-Racial,# Native American,# White,# English Language Learners,# Poverty,Economic Need Index
08X293,18,85,11,149,275,21,185,274,84,57,55,3,52,2,15,11,Renaissance High School for Musical Theater and th,2017-18,465,266,199,15,116,293,0,3,36,28,335,78.1
08X312,20,47,7,139,192,10,203,153,48,30,18,0,18,12,14,4,Millennium Art Academy,2017-18,432,243,189,8,113,292,1,5,11,32,323,83.4
08X367,16,89,8,133,258,3,236,168,50,33,32,2,30,1,10,6,"Archimedes Academy for Math, Science and Technolog",2017-18,686,276,410,68,192,406,1,4,13,65,575,85.6
08X376,33,92,15,107,242,2,170,198,65,51,43,4,39,8,5,7,Antonia Pantoja Preparatory Academy: A College Boa,2017-18,404,203,201,29,75,285,0,6,9,64,336,88.1
08X377,10,17,2,57,127,2,94,97,77,43,42,0,42,1,13,21,Bronx Community High School,2017-18,175,92,83,5,62,106,0,1,1,11,146,89.3
08X405,382,733,265,883,2407,345,2313,1612,199,131,111,9,102,20,9,55,Herbert H. Lehman High School,2021-22,1027,447,580,97,282,541,2,25,78,119,818,81
08X432,61,7,2,8,68,0,36,42,8,7,7,0,7,0,1,0,Bronx Bridges High School,2018-19,329,137,192,42,15,252,0,8,12,276,281,95
08X452,25,63,11,109,182,2,134,171,83,49,40,0,40,9,18,8,Gotham Collaborative High School,2017-18,553,237,316,34,170,325,0,11,12,87,485,91
08X530,61,116,3,147,295,5,225,226,68,32,25,0,25,7,12,21,Longwood Preparatory Academy,2017-18,199,79,120,3,59,132,0,0,4,43,181,95
08X537,6,8,3,52,72,1,56,73,82,20,18,0,18,2,45,17,Bronx Arena High School,2017-18,226,125,101,2,86,132,1,1,4,10,203,86.8
09X227,97,71,2,128,249,6,200,191,74,53,20,0,20,33,9,10,Bronx Collegiate Academy,2017-18,396,200,196,12,80,295,0,0,6,87,342,93
09X231,24,101,4,289,146,4,454,,71,62,55,0,55,7,2,7,Eagle Academy for Young Men,2017-18,511,0,511,3,281,218,1,3,2,26,407,79.4
09X241,34,61,21,123,266,9,222,198,67,65,58,18,40,7,1,1,Urban Assembly School for Applied Math and Science,2017-18,616,285,331,1,202,404,0,4,4,83,585.2,90.4
09X250,26,50,1,169,205,2,175,211,105,93,77,4,73,16,9,1,Eximius College Preparatory Academy: A College Boa,2017-18,432,234,198,8,149,265,1,1,2,43,363,85.9
09X252,30,32,5,128,243,4,186,199,17,6,1,0,1,5,8,2,Mott Hall Bronx High School,2017-18,387,198,189,3,91,284,0,2,3,33,358,89.5
09X260,1,1,7,38,56,3,53,56,64,62,61,23,38,1,0,2,Bronx Center for Science and Mathematics,2017-18,463,255,208,33,106,309,0,1,10,30,399,84.5
09X263,44,59,4,125,233,1,161,204,71,39,35,0,35,4,24,7,Validus Preparatory Academy,2017-18,372,191,181,1,101,262,0,0,6,77,332,93.1
09X297,86,101,2,117,329,2,242,208,99,67,36,0,36,31,17,15,Morris Academy for Collaborative Studies,2017-18,401,200,201,6,115,274,0,1,4,70,380.95,91.2
