Total Enrollment,Number of English Language Learners,ELL as Percent of Total,Sped,Sped as percent of total,Number of Male Students,Male Students as Percent of Total,Number of Female Students,Female Students as Percent of Total,Percent of students receiving free or reduced-price lunch
420.0,35.0,8.333333333333332,89.0,21.19047619047619,210.0,50.0,210.0,50.0,76.8
442.0,64.14285714285714,14.511958629605687,102.57142857142857,23.206205559146735,252.71428571428572,57.17517776341305,189.28571428571428,42.82482223658694,87.31428571428572
514.1428571428571,45.57142857142857,8.863573214781884,102.42857142857143,19.922200611280914,271.2857142857143,52.764656849124755,242.85714285714286,47.235343150875245,70.98571428571428
559.8571428571429,32.714285714285715,5.8433273794335285,147.42857142857142,26.33324827762184,294.0,52.51339627455983,265.85714285714283,47.486603725440155,73.31428571428572
218.5,6.5,2.9748283752860414,19.5,8.924485125858125,96.5,44.16475972540046,122.0,55.83524027459954,77.1
461.2857142857143,60.42857142857143,13.100030969340354,102.71428571428571,22.266955713843295,233.28571428571428,50.57293279653143,228.0,49.42706720346857,84.25714285714285
540.5714285714286,424.7142857142857,78.56765327695561,3.857142857142857,0.7135306553911205,294.57142857142856,54.49260042283298,246.0,45.50739957716702,82.28571428571429
1239.2857142857142,4.333333333333333,0.34966378482228627,43.285714285714285,3.4927953890489913,586.2857142857143,47.308357348703176,653.0,52.69164265129683,17.842857142857145
214.14285714285714,11.142857142857142,5.203468979319546,10.857142857142858,5.070046697798532,90.28571428571429,42.16144096064043,123.85714285714286,57.83855903935957,66.92857142857143
566.5714285714286,1.3333333333333333,0.2353336695242898,2.5714285714285716,0.45385779122541603,174.42857142857142,30.786686838124055,392.14285714285717,69.21331316187596,20.142857142857142
180.0,6.571428571428571,3.6507936507936503,66.0,36.666666666666664,71.42857142857143,39.682539682539684,108.57142857142857,60.317460317460316,65.01428571428572
379.7142857142857,14.0,3.6869826937547026,65.57142857142857,17.2686230248307,161.14285714285714,42.43792325056433,218.57142857142858,57.56207674943566,68.07142857142857
312.14285714285717,18.571428571428573,5.949656750572083,53.142857142857146,17.02517162471396,164.42857142857142,52.677345537757425,147.71428571428572,47.32265446224256,69.35714285714286
353.85714285714283,28.428571428571427,8.03391199031086,43.714285714285715,12.353653613241827,106.0,29.95559144125959,247.85714285714286,70.04440855874043,67.47142857142858
368.2857142857143,6.285714285714286,1.7067494181536074,41.0,11.13266097750194,174.28571428571428,47.323506594259115,194.0,52.676493405740885,68.08571428571429
354.14285714285717,35.0,9.883017345703912,50.714285714285715,14.320290439693423,258.14285714285717,72.89229528035499,96.0,27.107704719645014,68.21428571428571
332.85714285714283,54.714285714285715,16.43776824034335,68.42857142857143,20.557939914163093,173.0,51.97424892703864,159.85714285714286,48.02575107296138,77.67142857142858
239.14285714285714,9.714285714285714,4.062126642771804,31.714285714285715,13.261648745519713,104.14285714285714,43.54838709677419,135.0,56.451612903225815,65.54285714285714
250.42857142857142,10.142857142857142,4.050199657729606,58.42857142857143,23.331431831146606,101.85714285714286,40.67313177410155,148.57142857142858,59.326868225898465,67.64285714285714
201.14285714285714,10.714285714285714,5.326704545454545,28.285714285714285,14.0625,101.85714285714286,50.639204545454554,99.28571428571429,49.36079545454546,52.785714285714285
291.14285714285717,12.571428571428571,4.317958783120706,44.57142857142857,15.309126594700684,0.0,0.0,291.14285714285717,100.0,71.4
434.75,14.5,3.3352501437607818,49.5,11.385853939045429,138.0,31.74238067855089,296.75,68.2576193214491,63.375
262.75,2.0,0.7611798287345386,22.75,8.658420551855375,122.0,46.43196955280685,140.75,53.56803044719315,47.325
222.0,18.666666666666668,8.408408408408409,32.666666666666664,14.714714714714713,123.33333333333333,55.55555555555556,98.66666666666667,44.44444444444445,66.2
205.66666666666666,18.333333333333332,8.914100486223662,46.666666666666664,22.690437601296594,154.66666666666666,75.20259319286872,51.0,24.79740680713128,67.39999999999999
211.66666666666666,181.66666666666666,85.8267716535433,0.5,0.23622047244094488,109.0,51.49606299212599,102.66666666666667,48.50393700787402,85.66666666666667
167.66666666666666,52.0,31.01391650099404,27.666666666666668,16.50099403578529,82.0,48.9065606361829,85.66666666666667,51.093439363817104,75.26666666666667
1444.7142857142858,85.0,5.88351626619203,165.71428571428572,11.470384653416394,706.8571428571429,48.92712350440028,737.8571428571429,51.07287649559973,48.6
449.2857142857143,2.5,0.5564387917329094,37.714285714285715,8.394276629570747,235.14285714285714,52.33704292527822,214.14285714285714,47.66295707472178,18.414285714285715
452.14285714285717,4.428571428571429,0.9794628751974723,19.857142857142858,4.391785150078989,122.14285714285714,27.014218009478668,330.0,72.98578199052133,18.714285714285715
423.85714285714283,3.8,0.8965284799460734,9.142857142857142,2.1570610043815304,169.14285714285714,39.90562858105831,254.71428571428572,60.09437141894169,51.77142857142858
511.14285714285717,4.333333333333333,0.8477734302217252,66.0,12.912241475684738,241.57142857142858,47.26103968697596,269.57142857142856,52.73896031302403,17.142857142857142
682.5714285714286,6.142857142857143,0.8999581414817915,108.0,15.822519882796149,328.57142857142856,48.137295939723735,354.0,51.862704060276265,30.87142857142857
424.85714285714283,3.857142857142857,0.9078681909885677,45.42857142857143,10.692669804976465,194.57142857142858,45.79690652320108,230.28571428571428,54.20309347679893,42.285714285714285
491.57142857142856,1.5,0.3051438535309503,10.428571428571429,2.1214763150247022,174.85714285714286,35.571054925893634,316.7142857142857,64.42894507410637,22.7
568.5714285714286,1.6666666666666667,0.29313232830820773,48.42857142857143,8.517587939698492,214.57142857142858,37.73869346733669,354.0,62.26130653266332,41.1
438.0,44.285714285714285,10.110893672537507,74.0,16.894977168949772,208.71428571428572,47.651663405088065,229.28571428571428,52.348336594911935,72.45714285714286
1610.7142857142858,67.85714285714286,4.212860310421286,127.0,7.884700665188469,481.14285714285717,29.87139689578714,1129.5714285714287,70.12860310421286,69.34285714285714
660.0,30.714285714285715,4.653679653679654,101.14285714285714,15.324675324675324,309.14285714285717,46.83982683982684,350.85714285714283,53.16017316017315,63.12857142857143
127.0,109.5,86.22047244094489,11.0,8.661417322834646,70.0,55.118110236220474,57.0,44.881889763779526,78.75
379.57142857142856,24.428571428571427,6.4358298833270595,72.57142857142857,19.11930748964998,181.57142857142858,47.8359051561912,198.0,52.164094843808805,77.78571428571429
177.5,14.5,8.169014084507042,45.0,25.352112676056336,97.5,54.929577464788736,80.0,45.07042253521127,69.0
168.0,14.5,8.630952380952381,27.0,16.071428571428573,105.5,62.797619047619044,62.5,37.202380952380956,60.75
131.5,124.5,94.67680608365019,1.0,0.7604562737642585,79.5,60.45627376425855,52.0,39.543726235741445,71.4
409.14285714285717,13.571428571428571,3.317039106145251,37.285714285714285,9.113128491620111,152.14285714285714,37.185754189944134,257.0,62.81424581005586,66.64285714285714
