Total Number in Cohort,Total Number of Grads,Percentage of Grads per Cohort,Total Number of Regents,All Regents as Percentage of Cohort,All Regents as Percentage of Grads,Number of Advanced Regents,Percentage of Advanced Regents per Cohort,Advanced Regents Percentage of Grads,Number of non-Advanced Regents,Percentage of non-Advanced Regents per Cohort,Non-Advanced Regents Percentage of Grads,Number of Local Diplomas,Percentage of Local per Cohort,Local as Percentage of Grads,Number Still Enrolled,Percentage of Cohort Still Enrolled,Number Dropped Out,Dropped Out Percentage of Cohort
34.41293532338308,21.430348258706466,62.2741072719387,16.84825870646766,48.95908630909354,78.61868833430063,0.11691542288557213,0.5455600696459663,0.3397426630041926,16.73134328358209,48.61934364608935,78.07312826465467,4.582089552238806,13.315020962845164,21.38131166569936,5.08457711442786,14.775191557033395,6.465174129353234,18.787046407402055
46.24758220502901,34.458413926499034,74.50857381848598,24.922630560928432,53.889585947302386,72.32669099073814,4.539651837524178,13.174291327532977,9.815976578837308,20.382978723404257,44.073609368465085,59.152399663205166,9.5357833655706,20.618987871183606,27.67330900926186,3.9825918762088977,8.61145964031786,6.297872340425532,13.617733166039315
44.643153526970956,35.62033195020747,79.78901384887071,34.33609958506224,76.91235244911238,96.39466480284233,0.0,0.0,0.0,34.33609958506224,76.91235244911238,96.39466480284233,1.2842323651452283,2.876661399758342,3.6053351971576677,3.9813278008298756,8.918115066455991,4.309128630705394,9.65238405056232
60.10144927536232,12.673913043478262,21.087533156498676,11.423913043478262,19.007716421509528,90.13722126929675,0.0,0.0,0.0,11.423913043478262,19.007716421509528,90.13722126929675,1.25,2.0798167349891488,9.862778730703258,22.963768115942027,38.20834338075717,22.264492753623188,37.04485170002411
40.32298136645963,23.60248447204969,58.53357979051139,17.544513457556935,43.509960977613474,74.33333333333333,4.008281573498965,16.98245614035088,9.940439515300884,13.53623188405797,33.569521462312586,57.35087719298245,6.057971014492754,15.023618812897926,25.66666666666667,6.0,14.87985212569316,8.138716356107661,20.18381597864038
108.0672268907563,50.44747899159664,46.68157076205288,44.15126050420168,40.85536547433903,87.51926040061633,25.548319327731093,50.64340149085912,23.64113530326594,18.602941176470587,17.214230171073094,36.87585890975721,6.321428571428571,5.849533437013997,12.53071253071253,24.493697478991596,22.66524105754277,32.38235294117647,29.965007776049767
56.38181818181818,55.15064935064935,97.81637259870088,54.94025974025974,97.44322108075735,99.61851834408704,41.077922077922075,74.48311590448829,72.8566821762565,13.862337662337662,24.586538904500852,25.135402439598735,0.21038961038961038,0.37315151794352047,0.3814816559129656,0.5974025974025974,1.0595660386050583,0.5298701298701298,0.9397890081540516
65.93640350877193,34.478070175438596,52.289885921442114,25.844298245614034,39.1957960554761,74.95865665945807,0.021929824561403508,0.06360513929525505,0.033259054777663215,25.82236842105263,39.162537000698435,74.89505152016282,8.633771929824562,13.09408986596601,25.041343340541918,19.07236842105263,28.9253999401337,11.589912280701755,17.577410449995014
69.21980676328502,67.44444444444444,97.43518163101511,67.33816425120773,97.28164148375615,99.8424181648879,0.0,0.0,0.0,67.33816425120773,97.28164148375615,99.8424181648879,0.10628019323671498,0.15354014725895943,0.15758183511209797,0.9637681159420289,1.3923299717346547,0.7632850241545893,1.1026974212234357
19.58187134502924,14.149122807017545,72.25623413468718,10.514619883040936,53.69568463491115,74.31287456085968,0.9883040935672515,6.984914238479025,5.0470359862625065,9.526315789473685,48.64864864864866,67.32796032238066,3.634502923976608,18.56054949977602,25.687125439140317,2.745614035087719,14.021203523965955,1.280701754385965,6.540241899357922
49.55555555555556,35.333333333333336,71.30044843049328,34.5,69.61883408071749,97.64150943396226,0.0,0.0,0.0,34.5,69.61883408071749,97.64150943396226,0.8333333333333334,1.6816143497757847,2.3584905660377355,11.444444444444445,23.094170403587444,2.7777777777777777,5.605381165919282
41.6,34.3,82.45192307692307,27.9,67.0673076923077,81.34110787172013,1.6,4.664723032069971,3.8461538461538463,26.3,63.22115384615385,76.67638483965015,6.4,15.384615384615385,18.658892128279884,3.9,9.375,3.4,8.173076923076923
50.21590909090909,42.78977272727273,85.21158633174926,36.96306818181818,73.60828241683637,86.38295047138493,0.23863636363636365,0.5576948612402072,0.47522063815342835,36.72443181818182,73.13306177868296,85.82525561014475,5.826704545454546,11.603303914912876,13.617049528615057,2.9375,5.849739760126725,3.7244318181818183,7.4168363883231505
43.778625954198475,34.44783715012723,78.68642836384771,29.440203562340965,67.24789305434467,85.46314078889053,0.0,0.0,0.0,29.440203562340965,67.24789305434467,85.46314078889053,5.00763358778626,11.438535309503052,14.536859211109471,3.6513994910941476,8.340598663179307,5.015267175572519,11.45597210113339
49.99171270718232,39.5,79.01309609327512,34.28176795580111,68.57490191744489,86.78928596405345,0.4530386740331492,1.1469333519826561,0.9062275515278775,33.828729281767956,67.668674365917,85.64235261207077,5.218232044198895,10.438194175830247,13.21071403594657,4.859116022099448,9.719843067911809,5.18232044198895,10.366359065038404
47.243589743589745,42.761538461538464,90.51289009497965,41.48205128205128,87.8046132971506,97.0078551298195,8.853846153846154,20.70516279906458,18.740841248303937,32.62820512820513,69.06377204884669,76.30269233075494,1.2794871794871794,2.7082767978290363,2.992144870180488,2.3897435897435897,5.058344640434193,1.682051282051282,3.560379918588874
45.688442211055275,32.31658291457286,70.73251209854817,30.51005025125628,66.77848658161021,94.40988959726326,0.4798994974874372,1.484994557611569,1.050373955125385,30.030150753768844,65.72811262648483,92.92489503965169,1.806532663316583,3.954025516937968,5.5901104027367445,7.238693467336684,15.843598768147823,5.296482412060302,11.592608886933569
