DBN,Name,schoolyear,total_enrollment,grade9,grade10,grade11,grade12,ell_num,ell_percent,sped_num,sped_percent,ctt_num,selfcontained_num,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,frl_combined_percent
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2006,3425,1283,1012,615,514,202.0,5.9,307.0,9.0,14,179,708,20.7,1861,54.3,507,14.8,142,4.1,1756.0,51.3,1669.0,48.7,23.1
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2007,3285,1232,853,653,547,167.0,5.1,299.0,9.1,27,163,657,20.0,1818,55.3,467,14.2,108,3.3,1703.0,51.8,1582.0,48.2,24.9
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2008,3157,1156,837,552,612,215.0,6.8,303.0,9.6,17,167,646,20.5,1724,54.6,458,14.5,100,3.2,1635.0,51.8,1522.0,48.2,29.0
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2009,2950,1025,812,624,489,209.0,7.1,298.0,10.1,14,159,644,21.8,1721,58.3,440,14.9,78,2.6,1582.0,53.6,1368.0,46.4,20.3
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2010,2809,973,710,584,542,209.0,7.4,290.0,10.3,22,158,633,22.5,1638,58.3,418,14.9,66,2.3,1508.0,53.7,1301.0,46.3,32.1
26Q435,MARTIN VAN BUREN HIGH SCHOOL,2011,2542,827,705,487,523,202.0,7.9,288.0,11.3,29,157,577,22.7,1506,59.2,380,14.9,61,2.4,1372.0,54.0,1170.0,46.0,48.3
26Q435,MARTIN VAN BUREN HIGH SCHOOL                    ,2012,2390,722,641,547,480,237.0,9.9,274.0,11.5,34,138,576,24.1,1348,56.4,360,15.1,69,2.9,1298.0,54.3,1092.0,45.7,38.2
26Q495,BAYSIDE HIGH SCHOOL,2007,3908,1005,1418,920,565,295.0,7.5,232.0,5.9,50,79,1691,43.3,655,16.8,668,17.1,764,19.5,1919.0,49.1,1989.0,50.9,32.8
26Q495,BAYSIDE HIGH SCHOOL,2008,4072,1122,1214,1051,685,369.0,9.1,266.0,6.5,141,63,1838,45.1,626,15.4,704,17.3,763,18.7,1942.0,47.7,2130.0,52.3,35.1
26Q495,BAYSIDE HIGH SCHOOL,2009,3723,912,1066,918,827,238.0,6.4,265.0,7.1,181,38,1764,47.4,539,14.5,675,18.1,720,19.3,1728.0,46.4,1995.0,53.6,32.7
26Q495,BAYSIDE HIGH SCHOOL,2010,3575,1006,946,802,821,267.0,7.5,269.0,7.5,164,63,1711,47.9,472,13.2,675,18.9,664,18.6,1670.0,46.7,1905.0,53.3,66.0
26Q495,BAYSIDE HIGH SCHOOL,2011,3628,1006,1050,440,1132,255.0,7.0,335.0,9.2,177,96,1745,48.1,461,12.7,736,20.3,677,18.7,1740.0,48.0,1888.0,52.0,61.5
26Q495,BAYSIDE HIGH SCHOOL                             ,2012,3308,746,921,786,855,190.0,5.7,351.0,10.6,176,119,1494,45.2,419,12.7,737,22.3,647,19.6,1633.0,49.4,1675.0,50.6,52.4
26Q566,QUEENS HIGH SCHOOL OF TEACHING,2006,914,309,332,209,64,12.0,1.3,94.0,10.3,23,3,265,29.0,268,29.3,125,13.7,193,21.1,413.0,45.2,501.0,54.8,23.2
26Q566,QUEENS HIGH SCHOOL OF TEACHING,2007,1085,318,264,276,227,21.0,1.9,116.0,10.7,38,4,303,27.9,351,32.4,164,15.1,220,20.3,483.0,44.5,602.0,55.5,23.9
26Q566,QUEENS HIGH SCHOOL OF TEACHING,2008,1114,326,301,235,252,25.0,2.2,137.0,12.3,64,,292,26.2,408,36.6,173,15.5,183,16.4,505.0,45.3,609.0,54.7,27.3
26Q566,QUEENS HIGH SCHOOL OF TEACHING,2009,1137,322,299,271,245,32.0,2.8,160.0,14.1,74,2,297,26.1,483,42.5,170,15.0,181,15.9,524.0,46.1,613.0,53.9,29.9
26Q566,QUEENS HIGH SCHOOL OF TEACHING,2010,1193,383,297,246,267,29.0,2.4,166.0,13.9,78,1,283,23.7,566,47.4,188,15.8,143,12.0,519.0,43.5,674.0,56.5,43.5
26Q566,QUEENS HIGH SCHOOL OF TEACHING,2011,1230,375,330,255,270,28.0,2.3,182.0,14.8,84,7,292,23.7,579,47.1,193,15.7,158,12.8,555.0,45.1,675.0,54.9,50.9
26Q566,QUEENS HIGH SCHOOL OF TEACHING                  ,2012,1196,344,322,279,251,30.0,2.5,166.0,13.9,77,18,285,23.8,554,46.3,201,16.8,147,12.3,548.0,45.8,648.0,54.2,39.5
27Q137,MS 137 AMERICA'S SCHL OF HEROES,2008,1850,b,1,b,b,131.0,7.1,185.0,10.0,24,60,967,52.3,179,9.7,628,33.9,66,3.6,939.0,50.8,911.0,49.2,67.0
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,2006,187,114,73,b,b,2.0,1.1,7.0,3.7,1,,14,7.5,130,69.5,29,15.5,1,0.5,89.0,47.6,98.0,52.4,53.2
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,2007,268,115,104,49,b,6.0,2.2,13.0,4.9,2,3,19,7.1,179,66.8,51,19.0,2,0.7,132.0,49.3,136.0,50.7,67.8
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,2008,344,109,109,78,48,9.0,2.6,24.0,7.0,7,4,22,6.4,223,64.8,64,18.6,6,1.7,163.0,47.4,181.0,52.6,68.2
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,2009,409,145,104,86,74,10.0,2.4,34.0,8.3,16,8,24,5.9,270,66.0,74,18.1,7,1.7,194.0,47.4,215.0,52.6,65.6
