Total Enrollment,Number of Students with Disabilities,Percentage of Students with Disabilities,Number of Students in Poverty,Percentage of Students in Poverty,Economic Need Index,DBN
472.0,113.0,23.940677966101696,402.6,85.29661016949153,86.53999999999999,03M494
368.4,143.8,39.03365906623236,333.2,90.44516829533117,89.53999999999999,03M505
445.4,69.4,15.581499775482715,281.0,63.089357880556804,56.3,03M541
306.0,39.2,12.810457516339872,66.6,21.76470588235294,29.880000000000003,03M859
344.8,92.8,26.91415313225058,296.4,85.9628770301624,89.42,03M860
128.4,48.2,37.53894080996885,106.0,82.55451713395638,86.74,04M310
518.0,128.0,24.71042471042471,479.03000000000003,92.47683397683399,94.12,04M372
1620.6,229.2,14.142910033320993,1312.6,80.99469332346044,75.0,04M435
385.2,77.6,20.1453790238837,314.4,81.61993769470405,76.32000000000001,04M495
508.2,86.4,17.001180637544273,413.4,81.34592680047226,74.7,04M555
475.0,95.2,20.042105263157893,379.4,79.8736842105263,80.47999999999999,04M610
311.4,72.2,23.185613359023765,280.6,90.10918432883753,88.4,04M680
332.8,111.6,33.53365384615385,264.2,79.38701923076923,84.47999999999999,05M148
221.0,69.2,31.312217194570135,193.8,87.69230769230771,92.46,05M157
202.8,60.0,29.585798816568044,177.4,87.47534516765286,91.46000000000001,05M285
247.2,72.4,29.28802588996764,226.8,91.74757281553399,91.1,05M304
694.4,123.0,17.713133640552996,329.4,47.43663594470046,51.8,05M362
367.2,90.8,24.727668845315904,313.0,85.23965141612202,87.22,05M369
1112.4,212.8,19.129809421071556,907.6,81.5893563466379,83.8,05M499
540.2,130.4,24.139207700851536,421.8,78.0821917808219,82.9,05M670
499.2,29.2,5.8493589743589745,197.2,39.503205128205124,39.08,05M692
417.2,98.6,23.633748801534036,382.44,91.66826462128476,84.47999999999999,06M211
604.0,98.2,16.258278145695364,504.4,83.50993377483444,81.5,06M293
677.8,145.2,21.422248450870462,624.2,92.09206255532607,90.0,06M346
895.2,205.8,22.98927613941019,735.8,82.19392314566576,85.24,06M348
178.8,31.4,17.561521252796418,169.85999999999999,94.99999999999999,95.0,06M423
385.6,80.6,20.902489626556015,364.39,94.49948132780082,92.92,06M462
362.4,67.8,18.70860927152318,341.86,94.33222958057395,92.9,06M463
457.4,117.6,25.710537822474862,416.4,91.0362920857018,92.88,06M467
415.6,77.4,18.623676612127046,384.13,92.42781520692974,92.6,06M468
1452.8,242.8,16.712555066079297,1259.2,86.67400881057269,86.56,06M540
529.6,17.2,3.2477341389728096,485.95,91.75793051359517,95.0,06M552
647.8,166.8,25.748687866625502,612.6899999999999,94.58011732016054,93.78,07X221
681.4,132.4,19.43058409157617,642.99,94.36307601995891,91.42,07X223
546.0,123.4,22.600732600732602,464.0,84.98168498168498,88.6,07X259
405.2,32.6,8.045409674234946,384.93999999999994,94.99999999999999,95.0,07X334
210.8,65.8,31.214421252371917,181.8,86.24288425047439,91.0,07X379
160.8,50.0,31.094527363184078,143.4,89.17910447761194,92.6,07X381
318.2,87.8,27.592708988057822,293.8,92.3318667504714,93.74,07X427
285.6,85.8,30.04201680672269,269.43,94.33823529411765,93.66,07X473
552.2,102.4,18.544005795001812,459.0,83.12205722564288,81.28,07X495
541.0,112.8,20.850277264325324,456.0,84.28835489833642,87.97999999999999,07X500
379.0,128.6,33.931398416886545,340.21,89.76517150395777,90.53999999999999,07X522
497.4,139.6,28.065942903096097,460.46999999999997,92.57539203860073,92.34,07X527
516.4,138.0,26.723470178156468,460.6,89.19442292796282,91.8,07X548
589.8,169.2,28.687690742624618,545.8,92.53984401492032,94.92,07X551
243.6,82.2,33.74384236453202,209.4,85.96059113300493,90.97999999999999,07X557
446.6,130.0,29.108822212270486,402.0,90.01343484102105,89.52000000000001,07X600
84.0,14.0,16.666666666666664,73.5,87.5,88.1,07X625
429.2,110.2,25.675675675675674,386.4,90.02795899347623,92.17999999999999,07X670
630.4,165.6,26.269035532994923,546.6,86.70685279187818,91.94,08X269
230.6,45.8,19.861231569817868,215.20999999999998,93.32610581092801,92.08,08X282
445.8,105.6,23.687752355316285,340.2,76.31224764468371,81.2,08X293
406.6,101.8,25.036891293654694,323.2,79.48844072798819,84.67999999999999,08X312
429.8,96.6,22.475570032573287,345.0,80.26989297347603,83.3,08X320
368.0,83.8,22.77173913043478,283.6,77.06521739130436,81.6,08X348
438.4,112.4,25.638686131386862,353.8,80.70255474452556,85.2,08X349
616.6,168.2,27.27862471618553,508.8,82.51702886798573,85.3,08X367
408.6,114.8,28.095937347038667,351.4,86.0009789525208,90.55999999999999,08X376
144.0,28.2,19.583333333333332,123.6,85.83333333333333,90.2,08X377
891.0,219.0,24.579124579124578,716.4,80.4040404040404,81.12,08X405
337.8,39.6,11.72291296625222,299.79,88.74777975133216,95.0,08X432
452.2,118.6,26.22733303847855,400.8,88.63334807607254,91.8,08X452
313.8,94.2,30.019120458891013,285.0,90.82217973231357,92.9,08X530
180.4,25.4,14.07982261640798,165.2,91.57427937915742,91.17999999999999,08X537
517.8,110.6,21.359598300502125,420.0,81.11239860950175,78.32000000000001,08X558
392.2,102.6,26.16012238653748,335.0,85.41560428352881,87.7,08X561
384.2,88.6,23.0609057782405,335.4,87.29828214471628,92.58,09X227
498.0,147.0,29.518072289156628,404.8,81.285140562249,82.72,09X231
605.8,173.2,28.59029382634533,569.8399999999999,94.06404754044239,91.92,09X241
404.2,100.8,24.938149430974764,339.8,84.06729341909947,87.84,09X250
361.6,86.8,24.00442477876106,333.6,92.2566371681416,91.58,09X252
438.2,99.6,22.729347329986307,381.2,86.99224098585121,84.38,09X260
343.2,93.0,27.0979020979021,315.61,91.96095571095572,93.36,09X263
433.4,116.6,26.903553299492383,411.7299999999999,94.99999999999999,92.4,09X297
494.8,107.0,21.62489894907033,439.8,88.88439773645918,90.67999999999999,09X324
709.4,186.4,26.27572596560474,646.4,91.1192557090499,91.66,09X327
292.6,72.4,24.743677375256322,263.6,90.08885850991113,94.46000000000001,09X329
188.0,51.2,27.23404255319149,177.01,94.15425531914893,94.82000000000001,09X350
345.8,20.4,5.899363794100636,328.51,95.0,95.0,09X365
375.8,14.4,3.8318254390633313,346.87,92.30175625332623,95.0,09X403
251.2,66.8,26.59235668789809,225.89000000000001,89.92436305732485,93.86,09X404
307.8,73.6,23.911630929174784,284.0,92.26770630279401,95.0,09X412
451.0,108.0,23.946784922394677,388.8,86.20842572062084,90.6,09X413
746.2,169.8,22.755293487000806,666.4,89.30581613508441,88.56,09X505
344.4,93.0,27.00348432055749,307.8,89.37282229965157,92.97999999999999,09X517
471.6,137.4,29.134860050890588,425.8,90.28837998303646,94.3,09X525
225.6,70.0,31.028368794326244,208.16,92.2695035460993,93.76,09X543
354.4,26.4,7.44920993227991,328.21999999999997,92.61286681715576,95.0,09X564
526.2,96.2,18.282022044849867,453.0,86.08893956670467,83.76,09X568
1513.6,282.8,18.683932346723044,799.4,52.81448202959831,50.42,10X141
384.6,101.0,26.26105044201768,353.4,91.88767550702028,87.86,10X213
554.2,135.0,24.359437026344278,459.6,82.93035005413209,88.88,10X225
403.2,90.4,22.42063492063492,329.2,81.64682539682539,87.32000000000001,10X237
626.2,163.2,26.06196103481315,586.8,93.70808048546789,92.38,10X243
422.0,120.4,28.53080568720379,328.8,77.91469194312796,82.74,10X264
408.6,18.6,4.552129221732746,388.16999999999996,94.99999999999999,95.0,10X268
362.4,77.4,21.35761589403974,318.0,87.74834437086093,90.2,10X284
210.0,40.4,19.238095238095237,192.8,91.80952380952382,93.02000000000001,10X319
514.2,49.2,9.56826137689615,480.98999999999995,93.54142357059509,94.92,10X342
552.0,132.0,23.91304347826087,458.8,83.11594202898551,87.22,10X351
563.2,109.4,19.42471590909091,454.6,80.71732954545455,84.3,10X353
995.2,213.6,21.463022508038584,862.4,86.65594855305466,82.56,10X368
430.0,103.8,24.139534883720927,386.4,89.86046511627906,86.76,10X374
302.6,3.0,0.991407799074686,280.5,92.69662921348313,95.0,10X397
414.6,99.2,23.92667631452002,371.0,89.48383984563434,92.08,10X433
394.2,89.2,22.62810755961441,340.2,86.3013698630137,86.17999999999999,10X434
367.8,81.8,22.240348015225663,315.4,85.75312669929308,79.82000000000001,10X437
378.8,97.2,25.659978880675823,328.4,86.69482576557549,91.38,10X438
405.0,101.2,24.987654320987655,362.8,89.58024691358025,88.7,10X439
1056.2,207.2,19.617496686233665,914.4,86.57451240295399,85.78,10X440
434.4,94.6,21.777163904235728,368.2,84.76058931860037,78.9,10X442
2982.2,47.8,1.6028435383274093,1367.2,45.845349071155525,40.220000000000006,10X445
439.6,67.2,15.286624203821656,392.2,89.21747042766151,86.64,10X477
327.0,17.2,5.259938837920489,274.4,83.91437308868501,95.0,10X524
331.6,82.0,24.728588661037392,288.2,86.91194209891434,90.64,10X546
456.0,120.6,26.44736842105263,411.6,90.26315789473685,91.28,10X549
405.6,113.6,28.007889546351084,346.2,85.35502958579882,90.4,10X565
396.4,9.2,2.320887991927346,106.0,26.740665993945512,28.6,10X696
319.0,40.4,12.664576802507838,248.6,77.93103448275862,73.53999999999999,11X249
292.4,67.4,23.050615595075243,225.8,77.22298221614227,84.5,11X253
333.4,93.8,28.13437312537493,286.6,85.96280743851231,90.0,11X265
370.0,79.4,21.459459459459463,301.6,81.51351351351353,80.28,11X270
530.6,139.2,26.234451564266863,411.2,77.49717301168488,83.72,11X275
589.2,106.8,18.126272912423623,447.6,75.96741344195519,73.6,11X288
371.8,81.2,21.839698762775686,313.0,84.18504572350726,87.82000000000001,11X290
478.6,106.2,22.18972001671542,385.2,80.48474717927287,76.66,11X299
452.6,129.4,28.590366769774633,376.8,83.25231992929739,82.3,11X418
2120.4,541.0,25.51405395208451,1613.8,76.10828145632898,77.67999999999999,11X455
446.0,106.8,23.946188340807172,391.4,87.75784753363229,80.1,11X508
364.4,15.6,4.281009879253568,333.78000000000003,91.59714599341385,95.0,11X509
364.8,22.8,6.25,344.31,94.38322368421052,94.32000000000001,11X513
361.2,85.2,23.588039867109636,276.8,76.63344407530455,78.97999999999999,11X514
501.0,124.4,24.830339321357286,378.0,75.44910179640718,75.24,11X542
365.6,99.2,27.13347921225383,302.4,82.71334792122536,88.67999999999999,11X544
261.6,69.8,26.68195718654434,214.2,81.88073394495412,87.58,11X545
673.0,192.6,28.618127786032687,607.85,90.31946508172362,90.78,12X242
267.6,81.0,30.269058295964125,252.51999999999998,94.36472346786246,93.92,12X248
330.2,88.6,26.83222289521502,295.0,89.33979406420352,92.84,12X251
551.0,139.4,25.2994555353902,519.6899999999999,94.31760435571687,91.22,12X267
642.2,188.8,29.39894113983183,595.6,92.74369355341014,93.66,12X271
405.4,10.0,2.46669955599408,384.4,94.81993093241243,95.0,12X388
176.0,46.8,26.590909090909086,153.6,87.27272727272727,89.84,12X446
334.6,70.6,21.099820681410637,281.0,83.98087268380155,85.67999999999999,12X478
264.6,73.2,27.66439909297052,239.4,90.47619047619047,93.36,12X479
167.6,33.2,19.809069212410506,148.2,88.42482100238664,91.8,12X480
396.6,106.2,26.77760968229955,354.6,89.40998487140696,92.2,12X511
437.0,110.2,25.217391304347824,404.90999999999997,92.65675057208237,90.7,12X521
390.6,12.4,3.1746031746031744,371.07,95.0,95.0,12X550
469.8,139.2,29.629629629629626,405.4,86.29203916560238,92.0,12X682
395.0,115.4,29.215189873417724,352.4,89.21518987341771,91.68,12X684
319.8,89.8,28.080050031269543,283.2,88.55534709193245,90.06,13K265
192.8,47.2,24.481327800829874,165.0,85.58091286307054,84.5,13K350
474.2,134.2,28.300295234078447,407.8,85.99746942218474,82.97999999999999,13K412
563.8,75.4,13.373536715147216,473.0,83.89499822632139,76.36,13K419
5938.8,86.6,1.4582070451943152,3549.8,59.773018118138346,52.32000000000001,13K430
344.6,10.0,2.901915264074289,284.6,82.58850841555426,95.0,13K439
448.2,79.4,17.715305667112897,347.2,77.46541722445338,74.06,13K483
484.8,83.0,17.120462046204622,408.2,84.1996699669967,81.61999999999999,13K527
158.6,48.6,30.643127364438843,135.4,85.3720050441362,88.08,13K553
177.25,59.25,33.42736248236953,140.5,79.26657263751763,83.9,13K594
379.0,52.2,13.773087071240106,290.0,76.51715039577837,60.92,13K595
728.4,148.0,20.318506315211422,591.0,81.13673805601319,77.52000000000001,13K605
173.0,46.4,26.820809248554912,146.8,84.85549132947978,87.86,13K616
837.4,124.8,14.90327203248149,600.6,71.72199665631717,68.96000000000001,13K670
444.8,84.4,18.974820143884894,336.6,75.67446043165468,65.82000000000001,13K674
507.6,168.4,33.17572892040977,441.6,86.99763593380615,92.66,14K071
762.4,19.4,2.544596012591815,465.2,61.01783840503673,55.739999999999995,14K449
333.4,80.0,23.99520095980804,272.0,81.58368326334734,83.64,14K454
609.8,140.8,23.089537553296164,537.6,88.16005247622172,90.17999999999999,14K474
333.4,63.4,19.016196760647873,306.8,92.02159568086384,89.64,14K477
743.0,131.4,17.685060565275908,642.4,86.46029609690444,85.0,14K478
528.2,92.8,17.569102612646724,446.2,84.4755774327906,77.26,14K488
585.6,134.8,23.01912568306011,478.4,81.69398907103825,73.84,14K558
694.0,136.4,19.654178674351584,550.0,79.2507204610951,78.44,14K561
440.4,121.2,27.520435967302454,397.8,90.32697547683924,91.82000000000001,14K586
344.6,124.4,36.09982588508415,289.4,83.9814277423099,82.8,14K610
377.8,81.8,21.65166754896771,310.2,82.10693488618315,83.42,14K614
224.6,56.6,25.200356188780056,197.2,87.80053428317007,90.44,14K685
170.8,74.2,43.44262295081967,150.6,88.17330210772832,81.12,15K423
282.0,62.8,22.26950354609929,226.6,80.35460992907801,75.47999999999999,15K429
675.0,195.0,28.888888888888886,442.0,65.48148148148148,66.28,15K448
456.0,91.2,20.0,360.6,79.07894736842105,78.53999999999999,15K462
252.4,53.2,21.077654516640255,200.4,79.39778129952457,81.92,15K463
663.2,160.6,24.21592279855247,433.4,65.34981905910735,62.7,15K464
744.2,158.8,21.338349905939264,360.8,48.48159097016931,51.04,15K497
514.2,99.0,19.25320886814469,432.4,84.09179307662387,81.5,15K519
214.8,84.6,39.385474860335194,173.2,80.63314711359403,81.86,15K529
197.0,37.6,19.086294416243653,170.0,86.29441624365482,89.78,15K592
932.6,161.0,17.2635642290371,645.4,69.20437486596612,64.24,15K656
1272.0,254.6,20.01572327044025,1068.4,83.9937106918239,87.16,15K667
678.8,106.2,15.64525633470831,275.4,40.57159693576901,42.28,15K684
180.8,75.4,41.70353982300885,164.35999999999999,90.90707964601769,89.25999999999999,15K698
450.2,138.6,30.786317192358954,379.4,84.27365615282096,86.8,16K455
590.4,127.4,21.57859078590786,494.6,83.77371273712738,83.88,16K498
274.2,88.4,32.23924142961342,246.4,89.86141502552881,89.0,16K669
132.0,38.6,29.242424242424242,125.32000000000001,94.93939393939395,91.62,16K688
219.8,70.0,31.84713375796178,181.6,82.62056414922657,86.28,16K765
569.6,97.2,17.064606741573034,409.8,71.94522471910112,68.96000000000001,17K122
369.4,67.8,18.35408770979968,311.4,84.29886302111532,82.02000000000001,17K382
247.6,61.2,24.7172859450727,226.2,91.35702746365105,86.24,17K408
356.8,17.4,4.876681614349775,285.4,79.98878923766816,95.0,17K524
219.4,38.4,17.502278942570644,193.6,88.24065633546034,77.03999999999999,17K528
326.0,65.6,20.122699386503065,279.8,85.8282208588957,77.96000000000001,17K531
470.6,112.2,23.84190395240119,369.6,78.53803654908627,79.42,17K537
287.0,60.8,21.18466898954704,229.0,79.79094076655052,82.34,17K539
606.0,88.8,14.653465346534652,445.0,73.43234323432343,62.779999999999994,17K543
479.6,86.4,18.015012510425354,371.6,77.4812343619683,74.03999999999999,17K546
348.2,60.4,17.346352670878808,268.2,77.02469844916713,75.74,17K547
286.4,63.2,22.067039106145252,236.4,82.54189944134079,82.76,17K548
99.4,26.0,26.156941649899395,84.0,84.50704225352112,84.76,17K568
1390.6,94.4,6.788436646052065,1032.2,74.2269523946498,55.08,17K590
1268.8,228.2,17.985498108448926,975.8,76.90731399747793,74.36,17K600
198.75,54.75,27.547169811320753,164.5,82.76729559748428,84.7,17K646
464.0,96.4,20.775862068965516,400.0,86.20689655172413,74.62,17K745
294.2,45.4,15.431679129843644,248.6,84.50033990482665,83.36,17K751
573.4,97.2,16.95151726543425,417.2,72.75898151377747,76.94,18K563
201.6,46.0,22.817460317460316,156.8,77.77777777777779,77.0,18K566
307.6,59.6,19.375812743823147,257.8,83.81014304291287,82.14,18K567
259.4,78.8,30.37779491133385,216.4,83.42328450269855,78.2,18K569
314.2,70.6,22.46976448122215,252.8,80.45830681094844,77.7,18K576
169.2,46.0,27.18676122931442,136.4,80.6146572104019,79.64,18K578
234.6,57.6,24.55242966751918,175.4,74.76555839727196,76.24,18K617
255.6,58.2,22.769953051643192,201.6,78.87323943661971,78.17999999999999,18K629
454.4,68.4,15.052816901408454,402.56,88.59154929577466,73.42,18K633
186.6,52.4,28.081457663451232,158.6,84.994640943194,72.96000000000001,18K635
320.8,59.6,18.5785536159601,261.0,81.35910224438902,79.1,18K637
214.2,42.4,19.794584500466854,185.06,86.39589169000934,82.0,18K642
183.8,73.8,40.15233949945593,146.2,79.5429815016322,81.94,18K673
541.6,126.8,23.412112259970456,475.8,87.85081240768095,84.17999999999999,19K404
534.8,126.0,23.560209424083773,468.8,87.65893792071805,83.1,19K409
511.6,128.4,25.09773260359656,428.4,83.73729476153244,82.72,19K422
278.6,89.6,32.1608040201005,232.2,83.34529791816223,84.5,19K502
219.8,63.8,29.026387625113735,181.6,82.62056414922657,88.2,19K504
383.8,89.2,23.241271495570608,346.0,90.15112037519542,85.92,19K507
205.6,44.2,21.498054474708173,187.8,91.34241245136188,87.53999999999999,19K510
288.8,4.8,1.6620498614958445,258.0,89.33518005540166,95.0,19K583
756.2,202.8,26.81830203649828,589.2,77.9158952658027,79.34,19K615
428.0,91.8,21.44859813084112,362.4,84.67289719626167,78.44,19K618
401.0,81.8,20.399002493765586,350.8,87.48129675810475,88.82000000000001,19K639
333.0,63.8,19.15915915915916,303.2,91.05105105105105,84.76,19K659
399.6,137.0,34.28428428428428,358.2,89.63963963963964,89.58,19K660
262.6,56.0,21.325209444021322,237.0,90.25133282559025,90.9,19K683
333.6,42.0,12.589928057553957,261.6,78.41726618705036,81.17999999999999,19K764
152.5,30.5,20.0,125.0,81.9672131147541,84.5,19K953
3475.6,573.6,16.5036252733341,2803.6,80.66520888479687,80.03999999999999,20K445
1256.2,234.4,18.659449132303774,965.2,76.83489890144881,75.28,20K485
4529.2,672.0,14.837057316965469,3271.4,72.22909123023933,73.1,20K490
3215.6,496.8,15.449682796367709,2621.4,81.52133349919146,86.14,20K505
555.2,82.8,14.913544668587894,498.2,89.73342939481267,86.7,20K609
343.0,8.4,2.4489795918367347,306.4,89.32944606413994,95.0,21K337
609.8,107.0,17.546736634962283,439.4,72.05641193834043,80.08,21K344
271.6,61.8,22.7540500736377,207.2,76.28865979381442,84.47999999999999,21K348
1909.0,323.8,16.961760083813516,1528.4,80.06286013619697,82.52000000000001,21K410
704.6,131.4,18.648878796480272,494.8,70.2242407039455,69.02000000000001,21K468
3678.4,674.0,18.323183993040452,2490.0,67.6924749891257,65.64,21K525
2236.6,313.2,14.00339801484396,1864.0,83.34078512027185,80.94,21K540
276.8,62.2,22.471098265895954,222.8,80.4913294797688,81.86,21K559
378.0,79.0,20.8994708994709,291.8,77.19576719576719,77.3,21K572
483.0,178.4,36.935817805383024,418.4,86.62525879917183,81.22,21K620
933.6,189.2,20.265638389031704,716.4,76.73521850899743,76.53999999999999,21K690
220.0,84.4,38.36363636363637,191.2,86.9090909090909,88.64,21K728
4083.2,520.6,12.74980407523511,3000.6,73.48648119122258,65.0,22K405
3738.6,572.0,15.299844861712941,2806.4,75.0655325522923,65.24,22K425
1001.4,167.6,16.736568803674857,505.2,50.44937088076693,45.08,22K535
649.0,99.2,15.285053929121725,465.6,71.7411402157165,57.08,22K555
416.2,57.2,13.74339259971168,328.0,78.80826525708794,82.28,22K611
192.6,45.2,23.46832814122534,157.8,81.93146417445483,76.06,22K630
315.4,75.4,23.906150919467347,271.0,85.92263792010147,84.02000000000001,23K493
152.2,49.0,32.19448094612352,138.0,90.67017082785809,88.67999999999999,23K514
186.4,56.2,30.150214592274676,158.2,84.87124463519312,86.22,23K643
629.6,183.0,29.06607369758577,503.2,79.92376111817026,75.47999999999999,23K644
207.6,75.0,36.127167630057805,192.2,92.58188824662813,89.28,23K647
183.4,74.0,40.348964013086146,170.01,92.69901853871319,92.62,23K697
279.2,9.4,3.36676217765043,250.2,89.61318051575931,95.0,24Q236
687.2,86.8,12.630966239813734,565.4,82.27590221187427,70.58,24Q264
403.4,75.6,18.740704015865145,325.2,80.61477441745166,74.1,24Q267
611.2,109.4,17.899214659685864,491.0,80.33376963350784,78.44,24Q293
413.8,8.8,2.126631222812953,359.21999999999997,86.81005316578056,95.0,24Q296
645.2,55.2,8.555486670799752,314.0,48.66707997520148,45.26,24Q299
